@relation cleaned_data-weka.filters.unsupervised.attribute.Remove-R15-16-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R15-16

@attribute Dress_id numeric
@attribute Style {Sexy,Brief,cute,party,vintage,Casual,bohemian,work,fashion,Novelty}
@attribute Price {Low,Average,Medium,High,very-High,null}
@attribute Rating numeric
@attribute Size {M,L,free,XL,S}
@attribute Season {Summer,Spring,Winter,Autumn,null}
@attribute NeckLine {o-neck,boat-neck,v-neck,ruffled,turndowncollor,peterpan-collor,open,sqare-collor,slash-neck,Sweetheart,null,Scoop,halter,backless,bowneck}
@attribute SleeveLength {sleevless,full,butterfly,threequater,short,halfsleeves,turndowncollor,cap-sleeves,null}
@attribute Waistline {empire,natural,null,princess,dropped}
@attribute Material {null,silk,chiffonfabric,polyster,cotton,milksilk,linen,rayon,lycra,mix,spandex,nylon,lace,modal,cashmere,microfiber,viscos,other,knitted,wool,shiffon,acrylic}
@attribute FabricType {chiffon,broadcloth,jersey,null,batik,flannel,worsted,woolen,dobby,organza,lace,satin,tulle,poplin,Corduroy,shiffon,terry}
@attribute Decoration {ruffles,embroidary,bow,lace,null,sashes,holLowout,beading,pockets,sequined,button,applique,Tiered,rivet,fLowers,pleat,crystal,ruched,draped,tassel,plain}
@attribute PatternType {animal,print,dot,solid,patchwork,null,striped,geometric,leopard,floral,plaid,character,splice}
@attribute Recommendation {1,2}

@data
1006032852,Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,null,chiffon,ruffles,animal,2
1212192089,Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,2
1190380701,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,1
966005983,party,Average,5,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,1
876339541,Sexy,Low,4.7,M,Winter,o-neck,threequater,null,null,chiffon,lace,print,2
1068332458,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,null,animal,2
1220707172,Casual,Low,5,M,Summer,boat-neck,short,null,cotton,null,sashes,solid,1
1219677488,cute,Average,4.7,L,Spring,o-neck,short,null,cotton,null,sashes,solid,2
1113094204,bohemian,Medium,5,free,Autumn,o-neck,full,natural,null,null,holLowout,patchwork,2
985292672,Sexy,Average,5,M,Autumn,o-neck,sleevless,empire,milksilk,null,null,null,2
1117293701,Sexy,Average,4.5,L,Autumn,o-neck,full,null,cotton,null,beading,solid,1
898481530,Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,null,chiffon,null,solid,1
957723897,Brief,Low,4,XL,Summer,v-neck,short,natural,cotton,null,pockets,solid,1
749031896,Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid,2
1055411544,Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,null,null,null,solid,2
1162628131,cute,Low,4.3,free,Autumn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,1
624314841,cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,2
830467746,Casual,Average,4.6,L,Autumn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,1
840857118,Casual,Average,4.4,L,Autumn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,1
1113221101,Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,null,null,bow,solid,2
861754372,party,High,4.7,M,Spring,o-neck,threequater,null,null,null,null,print,1
856178100,Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,null,null,patchwork,2
