@relation 'cleaned_data-weka.filters.unsupervised.attribute.Remove-R15-16-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R15-16-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Style {Sexy,Brief,cute,party,vintage,Casual,bohemian,work,fashion,Novelty}
@attribute Price {Low,Average,Medium,High,very-High,null}
@attribute Season {Summer,Spring,Winter,Autumn,null}
@attribute NeckLine {o-neck,boat-neck,v-neck,ruffled,turndowncollor,peterpan-collor,open,sqare-collor,slash-neck,Sweetheart,null,Scoop,halter,backless,bowneck}
@attribute SleeveLength {sleevless,full,butterfly,threequater,short,halfsleeves,turndowncollor,cap-sleeves,null}
@attribute Material {null,silk,chiffonfabric,polyster,cotton,milksilk,linen,rayon,lycra,mix,spandex,nylon,lace,modal,cashmere,microfiber,viscos,other,knitted,wool,shiffon,acrylic}
@attribute FabricType {chiffon,broadcloth,jersey,null,batik,flannel,worsted,woolen,dobby,organza,lace,satin,tulle,poplin,Corduroy,shiffon,terry}
@attribute PatternType {animal,print,dot,solid,patchwork,null,striped,geometric,leopard,floral,plaid,character,splice}
@attribute Recommendation {1,2}

@data
Sexy,Low,Summer,o-neck,sleevless,null,chiffon,animal,2
Brief,Average,Spring,o-neck,full,silk,chiffon,print,2
cute,Low,Summer,o-neck,butterfly,chiffonfabric,chiffon,dot,1
party,Average,Summer,o-neck,full,polyster,broadcloth,solid,1
Sexy,Low,Winter,o-neck,threequater,null,chiffon,print,2
vintage,Average,Summer,o-neck,short,cotton,jersey,animal,2
Casual,Low,Summer,boat-neck,short,cotton,null,solid,1
cute,Average,Spring,o-neck,short,cotton,null,solid,2
bohemian,Medium,Autumn,o-neck,full,null,null,patchwork,2
Sexy,Average,Autumn,o-neck,sleevless,milksilk,null,null,2
Sexy,Average,Autumn,o-neck,full,cotton,null,solid,1
Casual,Low,Summer,o-neck,sleevless,null,chiffon,solid,1
Brief,Low,Summer,v-neck,short,cotton,null,solid,1
Sexy,Average,Summer,v-neck,sleevless,cotton,null,solid,2
Sexy,Average,Spring,o-neck,sleevless,null,null,solid,2
cute,Low,Autumn,o-neck,sleevless,polyster,chiffon,striped,1
cute,Low,Spring,ruffled,short,chiffonfabric,chiffon,dot,2
Casual,Average,Autumn,o-neck,sleevless,polyster,chiffon,solid,1
Casual,Average,Autumn,o-neck,sleevless,linen,chiffon,animal,1
Brief,Average,Spring,o-neck,sleevless,null,null,solid,2
party,High,Spring,o-neck,threequater,null,null,print,1
Casual,Low,Winter,boat-neck,full,cotton,null,patchwork,2
vintage,Average,Winter,o-neck,full,null,chiffon,print,2
party,Average,Winter,o-neck,sleevless,cotton,null,solid,2
Casual,Average,Spring,v-neck,short,cotton,null,solid,2
